x,y,z
23.12,144.0,-27.77
23.63,143.97,-27.78
23.63,143.97,-27.78
24.25,143.94,-27.78
24.25,143.94,-27.78
24.86,143.92,-27.78
24.86,143.92,-27.78
25.58,143.93,-27.78
25.58,143.93,-27.78
26.36,143.95,-27.78
26.36,143.95,-27.78
27.17,144.0,-27.78
27.17,144.0,-27.78
28.08,144.09,-27.78
28.08,144.09,-27.78
28.99,144.2,-27.78
28.99,144.2,-27.78
29.97,144.37,-27.78
29.97,144.37,-27.78
31.04,144.58,-27.78
31.04,144.58,-27.78
32.06,144.82,-27.78
32.06,144.82,-27.78
33.2,145.13,-27.78
33.2,145.13,-27.78
34.27,145.44,-27.78
34.27,145.44,-27.78
35.47,145.83,-27.78
35.47,145.83,-27.78
36.67,146.23,-27.78
36.67,146.23,-27.78
37.86,146.66,-27.78
37.86,146.66,-27.78
39.11,147.12,-27.78
39.11,147.12,-27.78
40.38,147.6,-27.78
40.38,147.6,-27.78
40.38,147.6,-27.78
41.71,148.11,-27.78
43.1,148.65,-27.78
43.1,148.65,-27.78
44.56,149.22,-27.78
44.56,149.22,-27.78
45.97,149.77,-27.78
45.97,149.77,-27.78
47.47,150.36,-27.78
47.47,150.36,-27.78
48.95,150.95,-27.78
48.95,150.95,-27.78
48.95,150.95,-27.78
50.57,151.59,-27.78
52.11,152.23,-27.78
52.11,152.23,-27.78
53.69,152.89,-27.78
53.69,152.89,-27.78
53.69,152.89,-27.78
55.38,153.63,-27.78
57.05,154.39,-27.78
57.05,154.39,-27.78
58.69,155.17,-27.79
58.69,155.17,-27.79
60.35,156.02,-27.79
60.35,156.02,-27.79
61.98,156.9,-27.8
61.98,156.9,-27.8
63.44,157.73,-27.8
63.44,157.73,-27.8
64.87,158.6,-27.81
64.87,158.6,-27.81
66.2,159.46,-27.81
66.2,159.46,-27.81
